package,run_id,stage,fusion_method,image_encoder_init,regime,seed,selected_epoch,selection_subset,used_internal_holdout_for_selection,elapsed_seconds,metrics_path,train_eval_speed_balanced_accuracy,train_eval_speed_accuracy,train_eval_speed_macro_f1,train_eval_flow_balanced_accuracy,train_eval_flow_accuracy,train_eval_flow_macro_f1,train_eval_temp_balanced_accuracy,train_eval_temp_accuracy,train_eval_temp_macro_f1,train_eval_tension_balanced_accuracy,train_eval_tension_accuracy,train_eval_tension_macro_f1,train_eval_avg4_balanced_accuracy,id_val_speed_balanced_accuracy,id_val_speed_accuracy,id_val_speed_macro_f1,id_val_flow_balanced_accuracy,id_val_flow_accuracy,id_val_flow_macro_f1,id_val_temp_balanced_accuracy,id_val_temp_accuracy,id_val_temp_macro_f1,id_val_tension_balanced_accuracy,id_val_tension_accuracy,id_val_tension_macro_f1,id_val_avg4_balanced_accuracy,id_test_speed_balanced_accuracy,id_test_speed_accuracy,id_test_speed_macro_f1,id_test_flow_balanced_accuracy,id_test_flow_accuracy,id_test_flow_macro_f1,id_test_temp_balanced_accuracy,id_test_temp_accuracy,id_test_temp_macro_f1,id_test_tension_balanced_accuracy,id_test_tension_accuracy,id_test_tension_macro_f1,id_test_avg4_balanced_accuracy,internal_holdout_speed_balanced_accuracy,internal_holdout_speed_accuracy,internal_holdout_speed_macro_f1,internal_holdout_flow_balanced_accuracy,internal_holdout_flow_accuracy,internal_holdout_flow_macro_f1,internal_holdout_temp_balanced_accuracy,internal_holdout_temp_accuracy,internal_holdout_temp_macro_f1,internal_holdout_tension_balanced_accuracy,internal_holdout_tension_accuracy,internal_holdout_tension_macro_f1,internal_holdout_avg4_balanced_accuracy,internal_holdout_param_ood_speed_balanced_accuracy,internal_holdout_param_ood_speed_accuracy,internal_holdout_param_ood_speed_macro_f1,internal_holdout_param_ood_flow_balanced_accuracy,internal_holdout_param_ood_flow_accuracy,internal_holdout_param_ood_flow_macro_f1,internal_holdout_param_ood_temp_balanced_accuracy,internal_holdout_param_ood_temp_accuracy,internal_holdout_param_ood_temp_macro_f1,internal_holdout_param_ood_tension_balanced_accuracy,internal_holdout_param_ood_tension_accuracy,internal_holdout_param_ood_tension_macro_f1,internal_holdout_param_ood_avg4_balanced_accuracy,internal_holdout_geom_ood_speed_balanced_accuracy,internal_holdout_geom_ood_speed_accuracy,internal_holdout_geom_ood_speed_macro_f1,internal_holdout_geom_ood_flow_balanced_accuracy,internal_holdout_geom_ood_flow_accuracy,internal_holdout_geom_ood_flow_macro_f1,internal_holdout_geom_ood_temp_balanced_accuracy,internal_holdout_geom_ood_temp_accuracy,internal_holdout_geom_ood_temp_macro_f1,internal_holdout_geom_ood_tension_balanced_accuracy,internal_holdout_geom_ood_tension_accuracy,internal_holdout_geom_ood_tension_macro_f1,internal_holdout_geom_ood_avg4_balanced_accuracy,internal_holdout_tension_2_speed_balanced_accuracy,internal_holdout_tension_2_speed_accuracy,internal_holdout_tension_2_speed_macro_f1,internal_holdout_tension_2_flow_balanced_accuracy,internal_holdout_tension_2_flow_accuracy,internal_holdout_tension_2_flow_macro_f1,internal_holdout_tension_2_temp_balanced_accuracy,internal_holdout_tension_2_temp_accuracy,internal_holdout_tension_2_temp_macro_f1,internal_holdout_tension_2_tension_balanced_accuracy,internal_holdout_tension_2_tension_accuracy,internal_holdout_tension_2_tension_macro_f1,internal_holdout_tension_2_avg4_balanced_accuracy,train_eval_all_head_accuracy,id_val_all_head_accuracy,id_test_all_head_accuracy,internal_holdout_all_head_accuracy,internal_holdout_tension_2_all_head_accuracy,internal_holdout_param_ood_all_head_accuracy,internal_holdout_geom_ood_all_head_accuracy
v11c_v5_build,scratch_tension_only_seed3,,,,,3.0,20,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11c_v5_build\runs\v11c_l27_internal_balanced\scratch_tension_only_seed3\metrics.json,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.9976047483010865,,0.9976620892332825,,,,,,,,,,,0.9893866565488428,,0.9893004665040689,,,,,,,,,,,0.6394486304427025,,0.5547733019122666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11d_0p4_scratch_four_head_build,scratch_four_head_0p4_seed1,,,,,1.0,22,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11d_0p4_scratch_four_head_build\runs\v11d_scratch_four_head_0p4\scratch_four_head_0p4_seed1\metrics.json,,,,,,,,,,0.9999530747753456,,0.9999518732442104,,,,,,,,,,,0.9996335522467268,,0.9996409981034318,,,,,,,,,,,0.9952899003524576,,0.9952718789101288,,,,,,,,,,,0.6556907659269864,,0.563124548199175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11d_0p4_scratch_four_head_build,scratch_four_head_0p4_seed2,,,,,2.0,14,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11d_0p4_scratch_four_head_build\runs\v11d_scratch_four_head_0p4\scratch_four_head_0p4_seed2\metrics.json,,,,,,,,,,0.9994603599164731,,0.9994393922362311,,,,,,,,,,,0.999820503078658,,0.9998194224015626,,,,,,,,,,,0.9954300115911182,,0.9952687006451496,,,,,,,,,,,0.5763215350824986,,0.5225922056585671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11d_0p4_scratch_four_head_build,scratch_four_head_0p4_seed3,,,,,3.0,24,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11d_0p4_scratch_four_head_build\runs\v11d_scratch_four_head_0p4\scratch_four_head_0p4_seed3\metrics.json,,,,,,,,,,0.9996715234274184,,0.9996587522302961,,,,,,,,,,,0.9994615092359741,,0.9994615092359741,,,,,,,,,,,0.9963066462759184,,0.9962142557368462,,,,,,,,,,,0.614631256340829,,0.5434284895873335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11e_two_contrast_label_audit_package,scratch_four_head_include64train_seed1,,,,include64_train_only,1.0,28,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11e_two_contrast_label_audit_package\runs\v11e_two_contrast_label_audit\scratch_four_head_include64train_seed1\metrics.json,,,,,,,,,,0.9998921251348435,,0.9998862631058328,,,,,,,,,,,0.9973339883421035,,0.9974152181762999,,,,,,,,,,,0.9911489855352875,,0.9912494412654455,,,,,,,,,,,0.9741662384161245,,0.9732205862778757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11e_two_contrast_label_audit_package,scratch_four_head_include64train_seed2,,,,include64_train_only,2.0,24,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11e_two_contrast_label_audit_package\runs\v11e_two_contrast_label_audit\scratch_four_head_include64train_seed2\metrics.json,,,,,,,,,,0.9998264596491105,,0.9998293901604701,,,,,,,,,,,0.9974170021209368,,0.9973406653656816,,,,,,,,,,,0.9919502165112487,,0.9918139612677822,,,,,,,,,,,0.9761904761904763,,0.975265960284687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11e_two_contrast_label_audit_package,scratch_four_head_include64train_seed3,,,,include64_train_only,3.0,15,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11e_two_contrast_label_audit_package\runs\v11e_two_contrast_label_audit\scratch_four_head_include64train_seed3\metrics.json,,,,,,,,,,0.99972117551519,,0.9997161377698959,,,,,,,,,,,0.9984707454732121,,0.9984788970369861,,,,,,,,,,,0.9950492588441459,,0.99499597459812,,,,,,,,,,,0.9454595791805094,,0.9432209772754473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11e_two_contrast_label_audit_package,scratch_four_head_quarantine64_seed1,,,,quarantine64,1.0,8,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11e_two_contrast_label_audit_package\runs\v11e_two_contrast_label_audit\scratch_four_head_quarantine64_seed1\metrics.json,,,,,,,,,,0.9994998332777593,,0.9994735874581907,,,,,,,,,,,0.9972127537549236,,0.9971200148130824,,,,,,,,,,,0.989738014356974,,0.9894021624432036,,,,,,,,,,,0.8920446731664242,,0.8861993872423618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11e_two_contrast_label_audit_package,scratch_four_head_quarantine64_seed2,,,,quarantine64,2.0,31,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11e_two_contrast_label_audit_package\runs\v11e_two_contrast_label_audit\scratch_four_head_quarantine64_seed2\metrics.json,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.9991334999783579,,0.9991499597367147,,,,,,,,,,,0.9928007031523142,,0.9926648504480498,,,,,,,,,,,0.9352159468438538,,0.9324398754350395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v11e_two_contrast_label_audit_package,scratch_four_head_quarantine64_seed3,,,,quarantine64,3.0,29,id_val,False,,C:\Users\EM328 Super\Desktop\caxton-new-codex\v11e_two_contrast_label_audit_package\runs\v11e_two_contrast_label_audit\scratch_four_head_quarantine64_seed3\metrics.json,,,,,,,,,,0.9997221295987551,,0.999711570242333,,,,,,,,,,,0.9984547461368654,,0.998512238602998,,,,,,,,,,,0.9954408043224214,,0.9954398628342758,,,,,,,,,,,0.929315740077254,,0.9262629164578703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
